,name,pow_received_kinetic,pow_received_magnetic,freq_max_planet,pow_received_spi,freq_max_star
849,HD 75289 b,1.8131290434111849,668.9661708828062,6.504860225778417,10138.081872551846,4.292263065213869
923,HIP 14810 b,0.11060771624564258,31.67136275764633,139.9840850954808,9768.100428118067,4.538739923879311
1758,WASP-2 A b,0.051720253159440184,451.2575531150675,17.677103273564512,9462.689201115672,8.42987252339491
1768,WASP-3 b,0.06664185678570658,67.14960981634725,69.75488157617441,9456.19511226007,4.953380323712592
1705,WASP-135 b,0.0353684812120877,61.56901362437326,67.74270904696147,9383.588789978983,4.444836479533826
71,CFHTWIR-Oph 98 b,4.578655825402386e-05,3896395.9368449454,1269.437893260476,9012.347808981465,5488284.245363726
878,HD 86081 A b,0.12622744053718404,75.62319912170128,37.549199968287915,8831.773557218969,3.215198632149457
1716,WASP-14 b,1.9016264737292083,10.871665831639973,679.1105445984277,8352.48309958304,8.839362876395054
292,HAT-P-23 b,0.06810481262040818,38.82592356445923,82.73486999706329,8325.07784579293,3.8585317736635476
1080,K2-371 b,0.0031200501297004883,38.156476558651,177.88570654299332,7954.112507999962,8.533311271370856
1427,QZ Ser b,0.05942905230935673,587.656803104928,9.28793418823824,7796.412512402831,7.0008067220995125
1139,KELT-23A b,0.09888650956316322,211.06696762379408,15.089119537755902,7740.037676716055,4.114727651168666
1489,TOI-1408 b,0.12591850507479097,108.59729940988463,47.260497536466715,7648.897875159382,6.709937150417043
1780,WASP-50 b,0.013541843477510678,129.17990868168832,31.642201042264325,7634.333293488878,5.354150105829782
252,GJ 876 c,15.229006811000465,3955.8499679760553,18.443281876011472,7193.5897325832075,101.42204202740088
1666,ups And b,13.918918843059362,114.24092342759774,11.733808486235521,7155.481853534811,1.8733624712190846
337,HATS-2 b,0.013593047913441118,139.64180194888672,26.3261056599051,6563.78207590708,5.600772222679101
627,HD 209458 b,1.7499304450777329,624.040434409755,6.291439920913722,6537.870135551526,6.005186429079586
1626,TOI-778 b,0.3664613565830312,71.71128117911213,175.36367705826038,6054.965821808965,20.768992467030788
1406,Oph 11 b,4.234541707728554e-08,988661.8004978142,1143.7355391192355,6010.64128807383,1881276.1953414252
871,HD 83443 b,2.2703875198011927,624.4321741523108,5.612196253996554,5283.45536713564,6.632848515104256
572,HD 187123 b,0.5072631440582878,240.2406368949874,7.764120207895692,5012.447036688513,3.721250658653125
709,HD 2638 b,0.8283912557097176,534.5786962391522,8.361042199591406,4936.959407592662,9.053416625998898
1673,WASP-103 b,0.11580061641988433,47.81081980410643,39.98577209036877,4880.561011542801,3.9170753928068676
496,HD 149143 b,0.06843157794499648,53.62073391966668,28.281628323820733,4815.747647757625,3.1490056748979067
1487,TOI-1288 Ab,0.005330414612988629,11.412831889856466,266.4188179994673,4441.523152513083,6.845834362929691
